name,year,frequency
Fortnite,25,1500
Film,25,2147
Automobile,25,303
Musique,25,891
Animaux,25,150
Sports,25,1768
Voyage et événements,25,427
Gaming,25,2300
Divertissement,25,2371
Politique,25,1072
Beauté,25,1278
Education,25,1400
Associatif,25,1496
Actualites,25,1545
Fortnite,26,1666
Film,26,2205
Automobile,26,615
Musique,26,683
Animaux,26,137
Sports,26,1615
Voyage et événements,26,473
Gaming,26,2595
Divertissement,26,2460
Politique,26,1020
Beauté,26,1219
Education,26,1204
Associatif,26,1516
Actualites,26,1461
Fortnite,27,2014
Film,27,2199
Automobile,27,643
Musique,27,730
Animaux,27,126
Sports,27,1443
Voyage et événements,27,507
Gaming,27,2004
Divertissement,27,2351
Politique,27,1134
Beauté,27,1149
Education,27,1031
Associatif,27,1399
Actualites,27,1641
Fortnite,28,1356
Film,28,2239
Automobile,28,348
Musique,28,792
Animaux,28,152
Sports,28,1348
Voyage et événements,28,436
Gaming,28,1677
Divertissement,28,2344
Politique,28,1254
Beauté,28,1145
Education,28,1148
Associatif,28,1718
Actualites,28,1934
Fortnite,29,1910
Film,29,2227
Automobile,29,337
Musique,29,751
Animaux,29,155
Sports,29,1130
Voyage et événements,29,421
Gaming,29,1702
Divertissement,29,2361
Politique,29,1250
Beauté,29,1253
Education,29,1297
Associatif,29,2210
Actualites,29,1952
Fortnite,30,2974
Film,30,2171
Automobile,30,338
Musique,30,838
Animaux,30,128
Sports,30,1196
Voyage et événements,30,532
Gaming,30,1696
Divertissement,30,2345
Politique,30,1196
Beauté,30,1266
Education,30,1217
Associatif,30,2079
Actualites,30,1590
Fortnite,31,2588
Film,31,2051
Automobile,31,377
Musique,31,1030
Animaux,31,140
Sports,31,1276
Voyage et événements,31,538
Gaming,31,1992
Divertissement,31,2304
Politique,31,1143
Beauté,31,1208
Education,31,1113
Associatif,31,1967
Actualites,31,1452
Fortnite,32,1859
Film,32,2014
Automobile,32,400
Musique,32,978
Animaux,32,145
Sports,32,1155
Voyage et événements,32,419
Gaming,32,1848
Divertissement,32,2244
Politique,32,1204
Beauté,32,1207
Education,32,1163
Associatif,32,2081
Actualites,32,1568
Fortnite,33,1963
Film,33,1918
Automobile,33,389
Musique,33,772
Animaux,33,137
Sports,33,1157
Voyage et événements,33,482
Gaming,33,1804
Divertissement,33,2187
Politique,33,1296
Beauté,33,1197
Education,33,1266
Associatif,33,2136
Actualites,33,1622
Fortnite,34,3365
Film,34,1840
Automobile,34,394
Musique,34,781
Animaux,34,129
Sports,34,1298
Voyage et événements,34,578
Gaming,34,1925
Divertissement,34,2149
Politique,34,1304
Beauté,34,1177
Education,34,1226
Associatif,34,2112
Actualites,34,1620
Fortnite,35,3451
Film,35,1755
Automobile,35,439
Musique,35,894
Animaux,35,122
Sports,35,1477
Voyage et événements,35,510
Gaming,35,1977
Divertissement,35,2134
Politique,35,1299
Beauté,35,1158
Education,35,1132
Associatif,35,2116
Actualites,35,1478
Fortnite,36,2523
Film,36,1443
Automobile,36,444
Musique,36,991
Animaux,36,166
Sports,36,1402
Voyage et événements,36,516
Gaming,36,2178
Divertissement,36,1979
Politique,36,1306
Beauté,36,1236
Education,36,1074
Associatif,36,2042
Actualites,36,1110
Fortnite,37,3550
Film,37,1067
Automobile,37,385
Musique,37,941
Animaux,37,240
Sports,37,1246
Voyage et événements,37,593
Gaming,37,2507
Divertissement,37,1761
Politique,37,1296
Beauté,37,1448
Education,37,1025
Associatif,37,1864
Actualites,37,976
Fortnite,38,4164
Film,38,873
Automobile,38,382
Musique,38,914
Animaux,38,264
Sports,38,1309
Voyage et événements,38,591
Gaming,38,2681
Divertissement,38,1713
Politique,38,1331
