name,year,frequency
coronavirus,39,14
financier,39,48
president,39,270
russie,39,80
btc,39,97
politique,39,267
russe,39,43
ukraine,40,27
covid-19,40,68
macron,40,131
journalistes,40,28
coronavirus,40,17
financier,40,56
president,40,280
russie,40,48
btc,40,79
politique,40,243
russe,40,34
ukraine,41,7
covid-19,41,93
macron,41,139
journalistes,41,36
coronavirus,41,20
financier,41,58
president,41,318
russie,41,28
btc,41,65
politique,41,226
russe,41,35
ukraine,42,6
covid-19,42,100
macron,42,107
journalistes,42,33
coronavirus,42,23
financier,42,55
president,42,242
russie,42,29
btc,42,71
politique,42,235
russe,42,32
ukraine,43,5
covid-19,43,90
macron,43,109
journalistes,43,24
coronavirus,43,22
financier,43,49
president,43,173
russie,43,38
btc,43,62
politique,43,234
russe,43,30
ukraine,44,16
covid-19,44,81
macron,44,129
journalistes,44,34
coronavirus,44,17
financier,44,51
president,44,193
russie,44,44
btc,44,77
politique,44,255
russe,44,32
ukraine,45,15
covid-19,45,78
macron,45,175
journalistes,45,38
coronavirus,45,15
financier,45,56
president,45,235
russie,45,51
btc,45,101
politique,45,287
russe,45,33
ukraine,46,5
covid-19,46,77
macron,46,216
journalistes,46,35
coronavirus,46,11
financier,46,63
president,46,228
russie,46,63
btc,46,93
politique,46,293
russe,46,36
ukraine,47,5
covid-19,47,69
macron,47,235
journalistes,47,37
coronavirus,47,11
financier,47,61
president,47,205
russie,47,59
btc,47,75
politique,47,285
russe,47,35
ukraine,48,4
covid-19,48,60
macron,48,227
journalistes,48,33
coronavirus,48,12
financier,48,51
president,48,198
russie,48,51
btc,48,60
politique,48,266
russe,48,33
ukraine,49,6
covid-19,49,68
macron,49,208
journalistes,49,31
coronavirus,49,16
financier,49,52
president,49,193
russie,49,48
btc,49,64
politique,49,255
russe,49,34
ukraine,50,17
covid-19,50,85
macron,50,155
journalistes,50,32
coronavirus,50,25
financier,50,46
president,50,194
russie,50,49
btc,50,65
politique,50,263
russe,50,37
ukraine,51,61
covid-19,51,83
macron,51,186
journalistes,51,23
coronavirus,51,24
financier,51,67
president,51,190
russie,51,83
btc,51,32
politique,51,195
russe,51,52
ukraine,52,69
covid-19,52,105
macron,52,152
journalistes,52,18
coronavirus,52,16
financier,52,63
president,52,197
russie,52,98
btc,52,8
politique,52,138
russe,52,71
ukraine,53,50
covid-19,53,150
macron,53,146
journalistes,53,32
coronavirus,53,18
financier,53,29
president,53,245
russie,53,104
btc,53,7
politique,53,187
russe,53,74
ukraine,54,221
covid-19,54,165
macron,54,233
journalistes,54,45
coronavirus,54,26
financier,54,30
president,54,349
russie,54,214
btc,54,10
politique,54,286
russe,54,114
ukraine,55,393
covid-19,55,130
macron,55,341
journalistes,55,39
coronavirus,55,21
financier,55,24
president,55,393
russie,55,273
btc,55,80
politique,55,298
russe,55,162
ukraine,56,1171
covid-19,56,71
macron,56,370
journalistes,56,33
coronavirus,56,16
financier,56,44
president,56,486
russie,56,737
btc,56,168
politique,56,254
russe,56,500
ukraine,57,2354
covid-19,57,39
macron,57,221
journalistes,57,51
coronavirus,57,12
financier,57,89
president,57,468
russie,57,1249
btc,57,196
politique,57,234
russe,57,863
ukraine,58,1962
covid-19,58,26
macron,58,123
journalistes,58,88
coronavirus,58,5
financier,58,83
president,58,259
russie,58,880
btc,58,201
politique,58,169
russe,58,611
ukraine,59,964
covid-19,59,29
macron,59,158
journalistes,59,76
coronavirus,59,12
financier,59,66
president,59,226
russie,59,441
btc,59,158
politique,59,210
russe,59,281
ukraine,60,526
covid-19,60,27
macron,60,323
journalistes,60,40
coronavirus,60,19
financier,60,79
president,60,247
russie,60,280
btc,60,105
politique,60,310
russe,60,172
ukraine,61,284
covid-19,61,15
macron,61,303
journalistes,61,34
coronavirus,61,13
financier,61,79
president,61,200
russie,61,179
btc,61,91
politique,61,299
russe,61,118
ukraine,62,285
covid-19,62,15
macron,62,146
journalistes,62,36
coronavirus,62,3
financier,62,75
president,62,185
russie,62,207
btc,62,85
politique,62,300
russe,62,131
ukraine,63,289
covid-19,63,18
macron,63,86
journalistes,63,40
coronavirus,63,2
financier,63,71
president,63,208
russie,63,250
btc,63,72
politique,63,345
russe,63,146
ukraine,64,279
covid-19,64,16
macron,64,112
journalistes,64,41
coronavirus,64,2
financier,64,67
president,64,222
russie,64,256
btc,64,65
politique,64,345
russe,64,138
ukraine,65,225
covid-19,65,14
macron,65,136
journalistes,65,40
coronavirus,65,5
financier,65,63
president,65,220
russie,65,230
btc,65,63
politique,65,349
russe,65,117
ukraine,66,184
covid-19,66,17
macron,66,110
journalistes,66,36
coronavirus,66,7
financier,66,60
president,66,230
russie,66,229
btc,66,57
politique,66,362
russe,66,118
ukraine,67,170
covid-19,67,15
macron,67,115
journalistes,67,38
coronavirus,67,7
financier,67,63
president,67,236
russie,67,236
btc,67,59
politique,67,361
russe,67,114
ukraine,68,127
covid-19,68,9
macron,68,91
journalistes,68,47
coronavirus,68,5
financier,68,61
president,68,209
russie,68,210
btc,68,55
politique,68,333
russe,68,94
ukraine,69,104
covid-19,69,9
macron,69,91
journalistes,69,49
coronavirus,69,2
financier,69,54
president,69,189
russie,69,181
btc,69,54
politique,69,293
russe,69,85
ukraine,70,107
covid-19,70,8
macron,70,124
journalistes,70,48
coronavirus,70,1
financier,70,56
president,70,182
russie,70,172
btc,70,59
politique,70,265
russe,70,89
ukraine,71,140
covid-19,71,7
macron,71,103
journalistes,71,51
coronavirus,71,0
financier,71,54
president,71,201
russie,71,204
btc,71,64
politique,71,279
russe,71,96
ukraine,72,192
covid-19,72,8
macron,72,83
journalistes,72,51
coronavirus,72,0
financier,72,54
president,72,205
russie,72,281
btc,72,63
politique,72,330
russe,72,111
ukraine,73,220
covid-19,73,10
macron,73,76
journalistes,73,53
coronavirus,73,1
financier,73,58
president,73,188
russie,73,297
btc,73,59
politique,73,360
russe,73,106
ukraine,74,205
covid-19,74,11
macron,74,80
journalistes,74,56
coronavirus,74,2
financier,74,59
president,74,194
russie,74,271
btc,74,56
politique,74,359
russe,74,100
ukraine,75,187
covid-19,75,10
macron,75,83
journalistes,75,66
coronavirus,75,2
financier,75,59
president,75,200
russie,75,268
btc,75,56
politique,75,338
russe,75,101
ukraine,76,210
covid-19,76,11
macron,76,95
journalistes,76,75
coronavirus,76,1
financier,76,57
president,76,202
russie,76,259
btc,76,57
politique,76,341
russe,76,98
ukraine,77,220
covid-19,77,12
macron,77,97
journalistes,77,79
coronavirus,77,1
financier,77,48
president,77,211
russie,77,264
btc,77,51
politique,77,334
russe,77,112
ukraine,78,198
covid-19,78,20
macron,78,77
journalistes,78,66
coronavirus,78,2
financier,78,44
president,78,214
russie,78,256
btc,78,38
politique,78,282
russe,78,114
ukraine,79,171
covid-19,79,22
macron,79,75
journalistes,79,62
coronavirus,79,4
financier,79,51
president,79,225
russie,79,201
btc,79,40
politique,79,253
russe,79,94
ukraine,80,185
covid-19,80,13
macron,80,98
journalistes,80,86
coronavirus,80,6
financier,80,52
president,80,210
russie,80,167
btc,80,52
politique,80,260
russe,80,74
ukraine,81,219
covid-19,81,8
macron,81,112
journalistes,81,85
coronavirus,81,5
financier,81,49
president,81,177
russie,81,194
btc,81,66
politique,81,282
russe,81,78
