name,year,frequency
film,70,286
cinema,70,112
acteurs,70,38
tournage,70,53
comedie,71,47
filme,71,56
film,71,268
cinema,71,112
acteurs,71,43
tournage,71,52
comedie,72,43
filme,72,55
film,72,280
cinema,72,116
acteurs,72,70
tournage,72,52
comedie,73,43
filme,73,52
film,73,299
cinema,73,116
acteurs,73,89
tournage,73,55
comedie,74,45
filme,74,49
film,74,295
cinema,74,117
acteurs,74,99
tournage,74,51
comedie,75,53
filme,75,52
film,75,346
cinema,75,127
acteurs,75,109
tournage,75,43
comedie,76,70
filme,76,52
film,76,375
cinema,76,120
acteurs,76,116
tournage,76,44
comedie,77,83
filme,77,56
film,77,353
cinema,77,106
acteurs,77,116
tournage,77,46
comedie,78,88
filme,78,52
film,78,368
cinema,78,108
acteurs,78,111
tournage,78,41
comedie,79,83
filme,79,45
film,79,318
cinema,79,116
acteurs,79,109
tournage,79,37
comedie,80,78
filme,80,43
film,80,237
cinema,80,110
acteurs,80,83
tournage,80,42
comedie,81,91
filme,81,43
film,81,234
cinema,81,103
acteurs,81,66
tournage,81,45
