name,year,frequency
Politique,18,1051
Beaute,18,988
Education,18,1348
Associatif,18,1745
Actualites,18,2117
Clubs_foot,18,1195
Fortnite,18,2045
Jesus-Snap,18,683
Ukraine-Cryptos,18,300
Covid-cuisine,18,316
Film,19,1252
Automobile,19,397
Musique,19,1215
Animaux,19,156
Sports,19,1829
Voyages,19,552
Gaming,19,1862
Divertissement,19,1999
Politique,19,1124
Beaute,19,982
Education,19,1393
Associatif,19,1583
Actualites,19,2092
Clubs_foot,19,927
Fortnite,19,1835
Jesus-Snap,19,710
Ukraine-Cryptos,19,253
Covid-cuisine,19,390
Film,20,1281
Automobile,20,378
Musique,20,1049
Animaux,20,141
Sports,20,1749
Voyages,20,525
Gaming,20,1888
Divertissement,20,2007
Politique,20,1104
Beaute,20,1018
Education,20,1231
Associatif,20,1512
Actualites,20,2137
Clubs_foot,20,959
Fortnite,20,1459
Jesus-Snap,20,701
Ukraine-Cryptos,20,263
Covid-cuisine,20,419
Film,21,1399
Automobile,21,375
Musique,21,1059
Animaux,21,117
Sports,21,1739
Voyages,21,520
Gaming,21,2170
Divertissement,21,2063
Politique,21,1021
Beaute,21,1074
Education,21,1348
Associatif,21,1656
Actualites,21,2141
Clubs_foot,21,870
Fortnite,21,2267
Jesus-Snap,21,705
Ukraine-Cryptos,21,247
Covid-cuisine,21,391
Film,22,1448
Automobile,22,416
Musique,22,855
Animaux,22,145
Sports,22,1696
Voyages,22,516
Gaming,22,2426
Divertissement,22,2061
Politique,22,1026
Beaute,22,1117
Education,22,1281
Associatif,22,1607
Actualites,22,2205
Clubs_foot,22,790
Fortnite,22,2993
Jesus-Snap,22,664
Ukraine-Cryptos,22,184
Covid-cuisine,22,337
Film,23,1826
Automobile,23,428
Musique,23,787
Animaux,23,166
Sports,23,1683
Voyages,23,530
Gaming,23,2373
Divertissement,23,2279
Politique,23,1108
Beaute,23,1232
Education,23,1374
Associatif,23,1557
Actualites,23,2144
Clubs_foot,23,624
Fortnite,23,3089
Jesus-Snap,23,677
Ukraine-Cryptos,23,159
Covid-cuisine,23,350
Film,24,2078
Automobile,24,377
Musique,24,998
Animaux,24,163
Sports,24,1720
Voyages,24,481
Gaming,24,2187
Divertissement,24,2355
Politique,24,1107
Beaute,24,1328
Education,24,1523
Associatif,24,1660
Actualites,24,1878
Clubs_foot,24,629
Fortnite,24,2734
Jesus-Snap,24,669
Ukraine-Cryptos,24,156
Covid-cuisine,24,397
Film,25,2147
Automobile,25,359
Musique,25,1010
Animaux,25,150
Sports,25,1768
Voyages,25,427
Gaming,25,2374
Divertissement,25,2371
Politique,25,986
Beaute,25,1278
Education,25,1400
Associatif,25,1739
Actualites,25,1654
Clubs_foot,25,786
Fortnite,25,1500
Jesus-Snap,25,630
Ukraine-Cryptos,25,212
Covid-cuisine,25,343
Film,26,2205
Automobile,26,668
Musique,26,809
Animaux,26,137
Sports,26,1615
Voyages,26,473
Gaming,26,2645
Divertissement,26,2460
Politique,26,893
Beaute,26,1219
Education,26,1204
Associatif,26,1812
Actualites,26,1615
Clubs_foot,26,767
Fortnite,26,1666
Jesus-Snap,26,630
Ukraine-Cryptos,26,171
Covid-cuisine,26,372
Film,27,2199
Automobile,27,686
Musique,27,824
Animaux,27,126
Sports,27,1443
Voyages,27,507
Gaming,27,2019
Divertissement,27,2351
Politique,27,998
Beaute,27,1149
Education,27,1031
Associatif,27,1681
Actualites,27,1801
Clubs_foot,27,825
Fortnite,27,2014
Jesus-Snap,27,593
Ukraine-Cryptos,27,164
Covid-cuisine,27,418
Film,28,2239
Automobile,28,399
Musique,28,870
Animaux,28,152
Sports,28,1348
Voyages,28,436
Gaming,28,1697
Divertissement,28,2344
Politique,28,1230
Beaute,28,1145
Education,28,1148
Associatif,28,2061
Actualites,28,2003
Clubs_foot,28,914
Fortnite,28,1356
Jesus-Snap,28,667
Ukraine-Cryptos,28,205
Covid-cuisine,28,409
Film,29,2227
Automobile,29,382
Musique,29,851
Animaux,29,155
Sports,29,1130
Voyages,29,421
Gaming,29,1722
Divertissement,29,2361
Politique,29,1303
Beaute,29,1253
Education,29,1297
Associatif,29,2670
Actualites,29,1946
Clubs_foot,29,701
Fortnite,29,1910
Jesus-Snap,29,755
Ukraine-Cryptos,29,175
Covid-cuisine,29,335
Film,30,2171
Automobile,30,370
Musique,30,985
Animaux,30,128
Sports,30,1196
Voyages,30,532
Gaming,30,1709
Divertissement,30,2345
Politique,30,1203
Beaute,30,1266
Education,30,1217
Associatif,30,2442
Actualites,30,1602
Clubs_foot,30,655
Fortnite,30,2974
Jesus-Snap,30,691
