name,value,year,lastValue,rank
argent,3.542434496970565,1,3.542434496970565,1
projet,2.630639642466135,1,2.630639642466135,2
dimanche,2.346932178305652,1,2.346932178305652,3
famille,1.9759896441003597,1,1.9759896441003597,4
membres,1.3069191462574894,1,1.3069191462574894,5
enfants,1.0120845827597769,1,1.0120845827597769,6
social,0.7129441735180884,1,0.7129441735180884,7
jesus,0.4138225836845635,1,0.4138225836845635,8
priere,0.38258970828846606,1,0.38258970828846606,9
chretienne,0.01488095238095238,1,0.01488095238095238,10
projet,2.7793119776002024,2,2.630639642466135,1
dimanche,2.660045102434177,2,2.346932178305652,2
argent,2.531324976908422,2,3.542434496970565,3
famille,2.22350313071205,2,1.9759896441003597,4
enfants,1.8271567120417285,2,1.0120845827597769,5
membres,1.5791667741862538,2,1.3069191462574894,6
social,0.8165326807066775,2,0.7129441735180884,7
jesus,0.3864120853911766,2,0.4138225836845635,8
priere,0.32822449984696744,2,0.38258970828846606,9
chretienne,0.01488095238095238,2,0.01488095238095238,10
argent,3.655951917017397,3,2.531324976908422,1
dimanche,2.7422792017136106,3,2.660045102434177,2
projet,2.5843398756299596,3,2.7793119776002024,3
enfants,2.4905898947837652,3,1.8271567120417285,4
membres,1.5617540326419994,3,1.5791667741862538,5
famille,1.4415925682254498,3,2.22350313071205,6
social,0.9191794995337168,3,0.8165326807066775,7
jesus,0.25028613767591773,3,0.3864120853911766,8
priere,0.1690712683196987,3,0.32822449984696744,9
chretienne,0.046596833915272924,3,0.01488095238095238,10
argent,3.4009899728344584,4,3.655951917017397,1
projet,3.0563681952522357,4,2.5843398756299596,2
enfants,2.7309627685595306,4,2.4905898947837652,3
dimanche,2.560669902076841,4,2.7422792017136106,4
famille,1.646070085128919,4,1.4415925682254498,5
membres,1.4019368004643247,4,1.5617540326419994,6
social,0.9089138425059562,4,0.9191794995337168,7
jesus,0.26623891675972344,4,0.25028613767591773,8
priere,0.22314508024338575,4,0.1690712683196987,9
chretienne,0.13070757498162458,4,0.046596833915272924,10
enfants,3.189156971715869,5,2.7309627685595306,1
projet,3.0736336107949676,5,3.0563681952522357,2
dimanche,2.6972019019986897,5,2.560669902076841,3
argent,2.4294251123798256,5,3.4009899728344584,4
famille,1.87978138586534,5,1.646070085128919,5
membres,1.4070122114206227,5,1.4019368004643247,6
social,0.7726246419193017,5,0.9089138425059562,7
jesus,0.25766900561132156,5,0.26623891675972344,8
