name,year,frequency
magazine,41,76
cuisine,42,143
livre,42,313
camera,42,279
culture,42,171
theatre,42,53
podcast,42,176
comedie,42,120
cinema,42,150
lectures,42,46
magazine,42,66
cuisine,43,134
livre,43,313
camera,43,276
culture,43,184
theatre,43,52
podcast,43,155
comedie,43,138
cinema,43,140
lectures,43,44
magazine,43,70
cuisine,44,161
livre,44,344
camera,44,292
culture,44,183
theatre,44,50
podcast,44,204
comedie,44,136
cinema,44,158
lectures,44,48
magazine,44,89
cuisine,45,160
livre,45,392
camera,45,291
culture,45,175
theatre,45,59
podcast,45,246
comedie,45,128
cinema,45,165
lectures,45,53
magazine,45,99
cuisine,46,153
livre,46,419
camera,46,288
culture,46,169
theatre,46,63
podcast,46,240
comedie,46,107
cinema,46,140
lectures,46,56
magazine,46,101
cuisine,47,164
livre,47,436
camera,47,290
culture,47,167
theatre,47,56
podcast,47,241
comedie,47,101
cinema,47,148
lectures,47,58
magazine,47,97
cuisine,48,149
livre,48,425
camera,48,276
culture,48,173
theatre,48,56
podcast,48,245
comedie,48,100
cinema,48,162
lectures,48,63
magazine,48,87
cuisine,49,130
livre,49,412
camera,49,264
culture,49,176
theatre,49,61
podcast,49,230
comedie,49,73
cinema,49,141
lectures,49,59
magazine,49,81
cuisine,50,131
livre,50,413
camera,50,257
culture,50,170
theatre,50,61
podcast,50,219
comedie,50,61
cinema,50,135
lectures,50,59
magazine,50,88
cuisine,51,186
livre,51,385
camera,51,340
culture,51,156
theatre,51,61
podcast,51,218
comedie,51,61
cinema,51,305
lectures,51,41
magazine,51,63
cuisine,52,185
livre,52,328
camera,52,344
culture,52,140
theatre,52,43
podcast,52,211
comedie,52,73
cinema,52,382
lectures,52,51
magazine,52,47
cuisine,53,138
livre,53,297
camera,53,296
culture,53,144
theatre,53,48
podcast,53,225
comedie,53,70
cinema,53,291
lectures,53,55
magazine,53,59
cuisine,54,171
livre,54,298
camera,54,337
culture,54,224
theatre,54,62
podcast,54,251
comedie,54,58
cinema,54,309
lectures,54,17
magazine,54,54
cuisine,55,178
livre,55,286
camera,55,329
culture,55,239
theatre,55,56
podcast,55,239
comedie,55,57
cinema,55,292
lectures,55,11
magazine,55,63
cuisine,56,155
livre,56,294
camera,56,280
culture,56,199
theatre,56,62
podcast,56,214
comedie,56,56
cinema,56,223
lectures,56,17
magazine,56,59
cuisine,57,156
livre,57,289
camera,57,264
culture,57,204
theatre,57,66
podcast,57,215
comedie,57,52
cinema,57,179
lectures,57,17
magazine,57,50
cuisine,58,159
livre,58,313
camera,58,304
culture,58,190
theatre,58,77
podcast,58,260
comedie,58,55
cinema,58,206
lectures,58,16
magazine,58,59
cuisine,59,156
livre,59,342
camera,59,289
culture,59,167
theatre,59,81
podcast,59,270
comedie,59,57
cinema,59,188
lectures,59,29
magazine,59,63
cuisine,60,147
livre,60,368
camera,60,255
culture,60,164
theatre,60,64
podcast,60,234
comedie,60,53
cinema,60,132
lectures,60,45
magazine,60,68
cuisine,61,139
livre,61,404
camera,61,273
culture,61,171
theatre,61,51
podcast,61,247
comedie,61,61
cinema,61,151
lectures,61,52
magazine,61,67
cuisine,62,136
livre,62,381
camera,62,264
culture,62,167
theatre,62,47
podcast,62,251
comedie,62,75
cinema,62,156
lectures,62,84
magazine,62,61
cuisine,63,130
livre,63,345
camera,63,231
culture,63,161
theatre,63,41
podcast,63,235
comedie,63,75
cinema,63,131
lectures,63,117
magazine,63,62
cuisine,64,123
livre,64,333
camera,64,218
culture,64,146
theatre,64,39
podcast,64,221
comedie,64,68
cinema,64,120
lectures,64,122
magazine,64,62
cuisine,65,123
livre,65,325
camera,65,209
culture,65,146
theatre,65,46
podcast,65,212
comedie,65,62
cinema,65,116
lectures,65,118
magazine,65,60
cuisine,66,127
livre,66,344
camera,66,196
culture,66,140
theatre,66,51
podcast,66,209
comedie,66,64
cinema,66,122
lectures,66,117
magazine,66,56
cuisine,67,137
livre,67,357
camera,67,196
culture,67,135
theatre,67,57
podcast,67,193
comedie,67,85
cinema,67,126
lectures,67,119
magazine,67,64
cuisine,68,143
livre,68,321
camera,68,201
culture,68,141
theatre,68,59
podcast,68,175
comedie,68,92
cinema,68,116
lectures,68,100
magazine,68,64
cuisine,69,136
livre,69,298
camera,69,201
culture,69,137
theatre,69,46
podcast,69,169
comedie,69,68
cinema,69,110
lectures,69,97
magazine,69,45
cuisine,70,135
livre,70,302
camera,70,218
culture,70,135
theatre,70,39
podcast,70,186
comedie,70,52
cinema,70,112
lectures,70,110
magazine,70,42
cuisine,71,147
livre,71,320
camera,71,227
culture,71,136
theatre,71,34
podcast,71,195
comedie,71,47
cinema,71,112
lectures,71,113
magazine,71,58
cuisine,72,170
livre,72,342
camera,72,223
culture,72,131
theatre,72,39
podcast,72,196
comedie,72,43
cinema,72,116
lectures,72,113
magazine,72,63
cuisine,73,173
livre,73,346
camera,73,228
culture,73,137
theatre,73,36
podcast,73,214
comedie,73,43
cinema,73,116
lectures,73,112
magazine,73,58
cuisine,74,153
livre,74,338
camera,74,217
culture,74,156
theatre,74,20
podcast,74,199
comedie,74,45
cinema,74,117
lectures,74,105
magazine,74,54
cuisine,75,144
livre,75,317
camera,75,207
culture,75,163
theatre,75,23
podcast,75,170
comedie,75,53
cinema,75,127
lectures,75,101
magazine,75,57
cuisine,76,128
livre,76,307
camera,76,211
culture,76,155
theatre,76,37
podcast,76,179
comedie,76,70
cinema,76,120
lectures,76,116
magazine,76,61
cuisine,77,138
livre,77,314
camera,77,207
culture,77,145
theatre,77,44
podcast,77,191
comedie,77,83
cinema,77,106
lectures,77,108
magazine,77,57
cuisine,78,143
livre,78,296
camera,78,198
culture,78,146
theatre,78,48
podcast,78,176
comedie,78,88
cinema,78,108
lectures,78,90
magazine,78,51
cuisine,79,125
livre,79,290
camera,79,191
culture,79,140
theatre,79,58
podcast,79,185
comedie,79,83
cinema,79,116
lectures,79,79
magazine,79,47
cuisine,80,116
livre,80,308
camera,80,189
culture,80,135
theatre,80,59
podcast,80,204
comedie,80,78
cinema,80,110
lectures,80,67
magazine,80,50
cuisine,81,120
livre,81,313
camera,81,202
culture,81,143
theatre,81,58
podcast,81,178
comedie,81,91
cinema,81,103
lectures,81,61
magazine,81,50
