name,year,frequency
musique,46,910
skyrock,46,16
guitare,46,67
chansons,46,155
voiture,47,143
auto,47,53
dakar,47,54
electrique,47,71
moto,47,82
musique,47,884
skyrock,47,14
guitare,47,70
chansons,47,156
voiture,48,146
auto,48,60
dakar,48,63
electrique,48,69
moto,48,83
musique,48,870
skyrock,48,16
guitare,48,69
chansons,48,161
voiture,49,179
auto,49,73
dakar,49,68
electrique,49,72
moto,49,82
musique,49,869
skyrock,49,29
guitare,49,75
chansons,49,186
voiture,50,185
auto,50,81
dakar,50,62
electrique,50,70
moto,50,84
musique,50,882
skyrock,50,43
guitare,50,75
chansons,50,211
voiture,51,187
auto,51,107
dakar,51,52
electrique,51,91
moto,51,68
musique,51,780
skyrock,51,127
guitare,51,59
chansons,51,135
voiture,52,177
auto,52,107
dakar,52,57
electrique,52,74
moto,52,51
musique,52,785
skyrock,52,148
guitare,52,47
chansons,52,112
voiture,53,147
auto,53,63
dakar,53,60
electrique,53,46
moto,53,52
musique,53,771
skyrock,53,141
guitare,53,38
chansons,53,135
voiture,54,133
auto,54,53
dakar,54,69
electrique,54,54
moto,54,46
musique,54,674
skyrock,54,194
guitare,54,28
chansons,54,87
voiture,55,142
auto,55,68
dakar,55,94
electrique,55,77
moto,55,42
musique,55,703
skyrock,55,171
guitare,55,27
chansons,55,66
voiture,56,140
auto,56,95
dakar,56,65
electrique,56,85
moto,56,57
musique,56,586
skyrock,56,157
guitare,56,24
chansons,56,57
voiture,57,136
auto,57,96
dakar,57,25
electrique,57,60
moto,57,69
musique,57,471
skyrock,57,172
guitare,57,20
chansons,57,51
voiture,58,167
auto,58,118
dakar,58,13
electrique,58,64
moto,58,58
musique,58,465
skyrock,58,185
guitare,58,27
chansons,58,61
voiture,59,160
auto,59,108
dakar,59,31
electrique,59,74
moto,59,68
musique,59,570
skyrock,59,138
guitare,59,40
chansons,59,84
voiture,60,135
auto,60,58
dakar,60,89
electrique,60,62
moto,60,94
musique,60,762
skyrock,60,60
guitare,60,43
chansons,60,114
voiture,61,132
auto,61,69
dakar,61,96
electrique,61,79
moto,61,96
musique,61,853
skyrock,61,38
guitare,61,60
chansons,61,157
voiture,62,125
auto,62,68
dakar,62,86
electrique,62,83
moto,62,76
musique,62,889
skyrock,62,31
guitare,62,70
chansons,62,186
voiture,63,124
auto,63,62
dakar,63,102
electrique,63,61
moto,63,64
musique,63,910
skyrock,63,25
guitare,63,53
chansons,63,200
voiture,64,117
auto,64,58
dakar,64,92
electrique,64,62
moto,64,63
musique,64,911
skyrock,64,25
guitare,64,51
chansons,64,224
voiture,65,126
auto,65,53
dakar,65,84
electrique,65,77
moto,65,62
musique,65,961
skyrock,65,68
guitare,65,59
chansons,65,240
voiture,66,125
auto,66,53
dakar,66,94
electrique,66,74
moto,66,60
musique,66,974
skyrock,66,99
guitare,66,57
chansons,66,249
voiture,67,135
auto,67,48
dakar,67,134
electrique,67,60
moto,67,58
musique,67,962
skyrock,67,49
guitare,67,54
chansons,67,257
voiture,68,144
auto,68,49
dakar,68,146
electrique,68,54
moto,68,56
musique,68,973
skyrock,68,10
guitare,68,54
chansons,68,273
voiture,69,123
auto,69,42
dakar,69,117
electrique,69,49
moto,69,54
musique,69,939
skyrock,69,12
guitare,69,58
chansons,69,285
voiture,70,117
auto,70,38
dakar,70,102
electrique,70,54
moto,70,55
musique,70,933
skyrock,70,34
guitare,70,58
chansons,70,301
voiture,71,112
auto,71,42
dakar,71,94
electrique,71,62
moto,71,63
musique,71,991
skyrock,71,46
guitare,71,57
chansons,71,353
voiture,72,101
auto,72,43
dakar,72,99
electrique,72,61
moto,72,67
musique,72,1007
skyrock,72,29
guitare,72,66
chansons,72,397
voiture,73,98
auto,73,62
dakar,73,97
electrique,73,64
moto,73,63
musique,73,978
skyrock,73,16
guitare,73,80
chansons,73,398
voiture,74,104
auto,74,59
dakar,74,110
electrique,74,61
moto,74,57
musique,74,989
skyrock,74,14
guitare,74,68
chansons,74,406
voiture,75,104
auto,75,40
dakar,75,119
electrique,75,53
moto,75,64
musique,75,975
skyrock,75,17
guitare,75,55
chansons,75,419
voiture,76,113
auto,76,38
dakar,76,114
electrique,76,58
moto,76,63
musique,76,999
skyrock,76,19
guitare,76,56
chansons,76,428
voiture,77,134
auto,77,35
dakar,77,124
electrique,77,56
moto,77,59
musique,77,1063
skyrock,77,19
guitare,77,48
chansons,77,442
voiture,78,143
auto,78,36
dakar,78,162
electrique,78,53
moto,78,66
musique,78,1167
skyrock,78,15
guitare,78,38
chansons,78,530
voiture,79,139
auto,79,42
dakar,79,171
electrique,79,54
moto,79,71
musique,79,1084
skyrock,79,14
guitare,79,37
chansons,79,480
voiture,80,131
auto,80,54
dakar,80,159
electrique,80,50
moto,80,78
musique,80,847
skyrock,80,21
guitare,80,37
chansons,80,319
voiture,81,101
auto,81,48
dakar,81,163
electrique,81,40
moto,81,63
musique,81,969
skyrock,81,15
guitare,81,25
chansons,81,400
