name,year,frequency
madrid,32,130
mercato,33,61
goal,33,87
champions,33,121
pronostics,33,16
musculation,33,37
mbappe,33,56
sport,33,116
sportive,33,39
football,33,254
barca,33,59
psg,33,139
chelsea,33,31
madrid,33,136
mercato,34,64
goal,34,59
champions,34,154
pronostics,34,30
musculation,34,53
mbappe,34,58
sport,34,143
sportive,34,26
football,34,235
barca,34,71
psg,34,246
chelsea,34,43
madrid,34,110
mercato,35,75
goal,35,50
champions,35,195
pronostics,35,26
musculation,35,65
mbappe,35,50
sport,35,189
sportive,35,36
football,35,173
barca,35,100
psg,35,262
chelsea,35,108
madrid,35,142
mercato,36,76
goal,36,38
champions,36,150
pronostics,36,46
musculation,36,60
mbappe,36,51
sport,36,207
sportive,36,35
football,36,152
barca,36,111
psg,36,194
chelsea,36,88
madrid,36,187
mercato,37,84
goal,37,45
champions,37,107
pronostics,37,62
musculation,37,61
mbappe,37,45
sport,37,217
sportive,37,27
football,37,214
barca,37,76
psg,37,126
chelsea,37,59
madrid,37,117
mercato,38,98
goal,38,86
champions,38,87
pronostics,38,82
musculation,38,70
mbappe,38,56
sport,38,225
sportive,38,27
football,38,300
barca,38,84
psg,38,76
chelsea,38,59
madrid,38,54
mercato,39,110
goal,39,80
champions,39,54
pronostics,39,95
musculation,39,72
mbappe,39,96
sport,39,221
sportive,39,27
football,39,340
barca,39,90
psg,39,78
chelsea,39,22
madrid,39,35
mercato,40,132
goal,40,39
champions,40,50
pronostics,40,64
musculation,40,66
mbappe,40,82
sport,40,205
sportive,40,31
football,40,292
barca,40,90
psg,40,105
chelsea,40,16
madrid,40,34
mercato,41,153
goal,41,30
champions,41,66
pronostics,41,44
musculation,41,66
mbappe,41,42
sport,41,200
sportive,41,29
football,41,248
barca,41,102
psg,41,103
chelsea,41,19
madrid,41,43
mercato,42,167
goal,42,30
champions,42,77
pronostics,42,38
musculation,42,63
mbappe,42,64
sport,42,194
sportive,42,24
football,42,245
barca,42,125
psg,42,277
chelsea,42,33
madrid,42,39
mercato,43,156
goal,43,29
champions,43,88
pronostics,43,55
musculation,43,60
mbappe,43,119
sport,43,198
sportive,43,22
football,43,247
barca,43,137
psg,43,388
chelsea,43,35
madrid,43,56
mercato,44,135
goal,44,28
champions,44,81
pronostics,44,66
musculation,44,71
mbappe,44,113
sport,44,206
sportive,44,24
football,44,236
barca,44,138
psg,44,226
chelsea,44,23
madrid,44,71
mercato,45,97
goal,45,24
champions,45,83
pronostics,45,97
musculation,45,76
mbappe,45,58
sport,45,194
sportive,45,26
football,45,226
barca,45,137
psg,45,186
chelsea,45,21
madrid,45,59
mercato,46,61
goal,46,23
champions,46,128
pronostics,46,106
musculation,46,64
mbappe,46,58
sport,46,202
sportive,46,27
football,46,212
barca,46,126
psg,46,219
chelsea,46,29
madrid,46,54
mercato,47,60
goal,47,23
champions,47,134
pronostics,47,80
musculation,47,52
mbappe,47,70
sport,47,215
sportive,47,29
football,47,197
barca,47,105
psg,47,199
chelsea,47,23
madrid,47,61
mercato,48,60
goal,48,23
champions,48,112
pronostics,48,83
musculation,48,53
mbappe,48,48
sport,48,200
sportive,48,27
football,48,187
barca,48,114
psg,48,175
chelsea,48,14
madrid,48,51
mercato,49,61
goal,49,22
champions,49,90
pronostics,49,73
musculation,49,65
mbappe,49,42
sport,49,194
sportive,49,25
football,49,181
barca,49,117
psg,49,135
chelsea,49,16
madrid,49,34
mercato,50,58
goal,50,17
champions,50,103
pronostics,50,69
musculation,50,66
mbappe,50,61
sport,50,189
sportive,50,27
football,50,192
barca,50,108
psg,50,158
chelsea,50,28
madrid,50,38
mercato,51,94
goal,51,72
champions,51,195
pronostics,51,83
musculation,51,108
mbappe,51,61
sport,51,173
sportive,51,31
football,51,209
barca,51,126
psg,51,147
chelsea,51,50
madrid,51,64
mercato,52,126
goal,52,93
champions,52,182
pronostics,52,73
musculation,52,140
mbappe,52,49
sport,52,151
sportive,52,33
football,52,198
barca,52,96
psg,52,78
chelsea,52,72
madrid,52,64
mercato,53,165
goal,53,40
champions,53,85
pronostics,53,53
musculation,53,101
mbappe,53,42
sport,53,162
sportive,53,31
football,53,273
barca,53,63
psg,53,88
chelsea,53,62
madrid,53,62
mercato,54,207
goal,54,39
champions,54,72
pronostics,54,47
musculation,54,82
mbappe,54,35
sport,54,194
sportive,54,54
football,54,338
barca,54,57
psg,54,102
chelsea,54,33
madrid,54,71
mercato,55,190
goal,55,78
champions,55,86
pronostics,55,59
musculation,55,88
mbappe,55,45
sport,55,229
sportive,55,73
football,55,307
barca,55,75
psg,55,111
chelsea,55,29
madrid,55,69
mercato,56,156
goal,56,207
champions,56,158
pronostics,56,67
musculation,56,103
mbappe,56,123
sport,56,263
sportive,56,65
football,56,346
barca,56,102
psg,56,166
chelsea,56,65
madrid,56,135
mercato,57,125
goal,57,385
champions,57,214
pronostics,57,62
musculation,57,131
mbappe,57,170
